buyer,industry_buy,m_cp
Cambodia,c3,1
Cambodia,c30,0
Cambodia,c31,0
Cambodia,c32,0
Cambodia,c33,0
Cambodia,c34,0
Cambodia,c35,0
Cambodia,c4,1
Cambodia,c5,0
Cambodia,c6,1
Cambodia,c7,1
Cambodia,c8,0
Cambodia,c9,0
Canada,c1,0
Canada,c10,0
Canada,c11,0
Canada,c12,0
Canada,c13,0
Canada,c14,0
Canada,c15,0
Canada,c16,0
Canada,c17,0
Canada,c18,1
Canada,c19,1
Canada,c2,1
Canada,c20,0
Canada,c21,1
Canada,c22,0
Canada,c23,1
Canada,c24,0
Canada,c25,1
Canada,c26,0
Canada,c27,1
Canada,c28,1
Canada,c29,1
Canada,c3,0
Canada,c30,0
Canada,c31,1
Canada,c32,1
Canada,c33,1
Canada,c34,0
Canada,c35,0
Canada,c4,0
Canada,c5,0
Canada,c6,1
Canada,c7,0
Canada,c8,1
Canada,c9,0
Colombia,c1,1
Colombia,c10,0
Colombia,c11,0
Colombia,c12,0
Colombia,c13,0
Colombia,c14,0
Colombia,c15,0
Colombia,c16,0
Colombia,c17,1
Colombia,c18,0
Colombia,c19,1
Colombia,c2,1
Colombia,c20,1
Colombia,c21,0
Colombia,c22,1
Colombia,c23,1
Colombia,c24,0
Colombia,c25,1
Colombia,c26,0
Colombia,c27,0
Colombia,c28,0
Colombia,c29,0
Colombia,c3,1
Colombia,c30,0
Colombia,c31,1
Colombia,c32,1
Colombia,c33,1
Colombia,c34,1
Colombia,c35,1
Colombia,c4,0
Colombia,c5,0
Colombia,c6,0
Colombia,c7,1
Colombia,c8,1
Colombia,c9,0
Cyprus,c1,0
Cyprus,c10,0
Cyprus,c11,0
Cyprus,c12,0
Cyprus,c13,0
Cyprus,c14,0
Cyprus,c15,0
Cyprus,c16,0
Cyprus,c17,0
Cyprus,c18,1
Cyprus,c19,0
Cyprus,c2,0
Cyprus,c20,0
Cyprus,c21,0
Cyprus,c22,1
Cyprus,c23,0
Cyprus,c24,1
Cyprus,c25,0
Cyprus,c26,1
Cyprus,c27,0
Cyprus,c28,1
Cyprus,c29,0
Cyprus,c3,0
Cyprus,c30,1
Cyprus,c31,0
Cyprus,c32,1
Cyprus,c33,0
Cyprus,c34,0
Cyprus,c35,1
Cyprus,c4,0
Cyprus,c5,0
Cyprus,c6,0
Cyprus,c7,1
Cyprus,c8,0
Cyprus,c9,0
Czech Republic,c1,0
Czech Republic,c10,1
Czech Republic,c11,1
Czech Republic,c12,1
Czech Republic,c13,1
Czech Republic,c14,1
Czech Republic,c15,1
Czech Republic,c16,0
Czech Republic,c17,1
Czech Republic,c18,0
Czech Republic,c19,1
Czech Republic,c2,0
Czech Republic,c20,0
Czech Republic,c21,0
Czech Republic,c22,0
Czech Republic,c23,1
Czech Republic,c24,0
Czech Republic,c25,0
Czech Republic,c26,1
Czech Republic,c27,1
Czech Republic,c28,0
Czech Republic,c29,1
Czech Republic,c3,0
Czech Republic,c30,0
Czech Republic,c31,0
Czech Republic,c32,1
Czech Republic,c33,0
Czech Republic,c34,0
Czech Republic,c35,0
Czech Republic,c4,0
Czech Republic,c5,0
Czech Republic,c6,1
Czech Republic,c7,0
Czech Republic,c8,0
Czech Republic,c9,0
Denmark,c1,0
Denmark,c10,0
Denmark,c11,0
Denmark,c12,0
Denmark,c13,1
Denmark,c14,0
Denmark,c15,0
Denmark,c16,1
Denmark,c17,0
Denmark,c18,0
Denmark,c19,1
Denmark,c2,0
Denmark,c20,1
Denmark,c21,0
Denmark,c22,0
Denmark,c23,0
Denmark,c24,1
Denmark,c25,0
Denmark,c26,1
Denmark,c27,0
Denmark,c28,0
Denmark,c29,1
Denmark,c3,0
Denmark,c30,1
Denmark,c31,0
Denmark,c32,1
Denmark,c33,1
Denmark,c34,1
Denmark,c35,1
Denmark,c4,0
Denmark,c5,0
Denmark,c6,0
Denmark,c7,1
Denmark,c8,0
Denmark,c9,1
Ecuador,c1,1
Ecuador,c10,0
Ecuador,c11,0
Ecuador,c12,0
Ecuador,c13,0
Ecuador,c14,0
Ecuador,c15,0
Ecuador,c16,1
Ecuador,c17,0
Ecuador,c18,1
Ecuador,c19,1
Ecuador,c2,1
Ecuador,c20,0
Ecuador,c21,0
Ecuador,c22,1
Ecuador,c23,1
Ecuador,c24,1
Ecuador,c25,0
Ecuador,c26,1
Ecuador,c27,0
Ecuador,c28,0
Ecuador,c29,0
Ecuador,c3,1
Ecuador,c30,0
Ecuador,c31,0
Ecuador,c32,1
Ecuador,c33,1
Ecuador,c34,0
Ecuador,c35,1
Ecuador,c4,0
Ecuador,c5,0
Ecuador,c6,1
Ecuador,c7,0
Ecuador,c8,1
Ecuador,c9,0
Egypt,c1,1
Egypt,c10,1
Egypt,c11,1
Egypt,c12,0
Egypt,c13,0
Egypt,c14,0
Egypt,c15,0
Egypt,c16,1
Egypt,c17,0
Egypt,c18,1
Egypt,c19,1
Egypt,c2,1
Egypt,c20,0
Egypt,c21,1
Egypt,c22,1
Egypt,c23,0
Egypt,c24,1
Egypt,c25,0
Egypt,c26,0
Egypt,c27,1
Egypt,c28,0
Egypt,c29,0
Egypt,c3,1
Egypt,c30,0
Egypt,c31,0
Egypt,c32,1
Egypt,c33,0
Egypt,c34,0
Egypt,c35,0
Egypt,c4,1
Egypt,c5,0
Egypt,c6,0
Egypt,c7,0
Egypt,c8,1
Egypt,c9,0
Estonia,c1,1
Estonia,c10,0
Estonia,c11,0
Estonia,c12,0
Estonia,c13,0
Estonia,c14,0
Estonia,c15,0
Estonia,c16,1
Estonia,c17,1
Estonia,c18,0
Estonia,c19,1
Estonia,c2,0
Estonia,c20,0
Estonia,c21,0
Estonia,c22,0
Estonia,c23,1
Estonia,c24,1
Estonia,c25,1
Estonia,c26,1
Estonia,c27,0
Estonia,c28,0
Estonia,c29,1
Estonia,c3,0
Estonia,c30,1
Estonia,c31,0
Estonia,c32,1
Estonia,c33,0
Estonia,c34,1
Estonia,c35,0
Estonia,c4,0
Estonia,c5,0
Estonia,c6,1
Estonia,c7,0
Estonia,c8,0
Estonia,c9,0
Fiji,c1,1
Fiji,c10,0
Fiji,c11,0
Fiji,c12,0
Fiji,c13,0
Fiji,c14,0
Fiji,c15,0
Fiji,c16,0
Fiji,c17,0
Fiji,c18,0
Fiji,c19,1
Fiji,c2,0
Fiji,c20,0
Fiji,c21,1
Fiji,c22,1
Fiji,c23,0
Fiji,c24,1
Fiji,c25,1
Fiji,c26,1
Fiji,c27,1
Fiji,c28,1
Fiji,c29,0
Fiji,c3,1
Fiji,c30,0
Fiji,c31,1
Fiji,c32,1
Fiji,c33,0
Fiji,c34,0
Fiji,c35,0
Fiji,c4,0
Fiji,c5,0
Fiji,c6,1
Fiji,c7,0
Fiji,c8,0
Fiji,c9,0
Finland,c1,0
Finland,c10,0
Finland,c11,0
Finland,c12,1
Finland,c13,1
Finland,c14,1
Finland,c15,0
Finland,c16,0
Finland,c17,0
Finland,c18,0
Finland,c19,1
Finland,c2,0
Finland,c20,0
Finland,c21,0
Finland,c22,0
Finland,c23,0
Finland,c24,1
Finland,c25,1
Finland,c26,1
Finland,c27,0
Finland,c28,0
Finland,c29,1
Finland,c3,0
Finland,c30,1
Finland,c31,0
Finland,c32,1
Finland,c33,1
Finland,c34,1
Finland,c35,0
Finland,c4,0
Finland,c5,0
Finland,c6,1
Finland,c7,1
Finland,c8,0
Finland,c9,0
France,c1,0
France,c10,0
France,c11,0
France,c12,0
France,c13,1
France,c14,0
France,c15,1
France,c16,0
France,c17,1
France,c18,0
France,c19,1
France,c2,0
France,c20,1
France,c21,1
France,c22,1
France,c23,0
France,c24,1
France,c25,0
France,c26,1
France,c27,0
France,c28,0
France,c29,1
France,c3,0
France,c30,1
France,c31,0
France,c32,1
France,c33,1
France,c34,1
France,c35,0
France,c4,0
France,c5,0
France,c6,0
France,c7,1
